Time ACO, Steps ACO	Time A*, Steps A*

12, 396	12, 329
6, 388	21, 380
13, 376	12, 361
9, 366	23, 354
9, 412	30, 351
9, 400	33, 386
8, 353	17, 351
4, 362	12, 336
12, 379	15, 361
23, 360	31, 360
9, 385	20, 359
12, 385	10, 377
10, 338	18, 321
22, 431	25, 343
21, 387	19, 387
4, 361	14, 327
8, 451	18, 345
27, 351	17, 351
38, 387	17, 353
9, 421	19, 357
5, 371	12, 336
3, 367	8, 343
24, 348	28, 348
30, 407	39, 409
22, 582	17, 536
8, 343	8, 343
8, 405	19, 387
4, 304	9, 299
17, 463	33, 429
11, 427	16, 425
5, 377	15, 363
31, 407	31, 407
6, 414	15, 386
8, 404	8, 397
17, 556	21, 556
7, 353	17, 341
5, 408	21, 388
8, 417	19, 343
17, 343	14, 343
24, 306	21, 306
9, 462	21, 422
4, 355	20, 337
9, 368	28, 360
4, 367	17, 327
6, 339	9, 323
16, 432	14, 432
7, 371	13, 343
15, 408	16, 410
3, 324	4, 316
19, 492	30, 459
19, 420	36, 393
18, 325	24, 325
20, 489	16, 461
9, 419	39, 359
19, 531	15, 473
8, 373	17, 305
6, 342	17, 324
9, 400	11, 374
6, 370	15, 354
8, 321	8, 297
23, 333	7, 333
7, 422	24, 398
23, 501	19, 469
28, 630	22, 538
9, 359	13, 359
4, 329	12, 313
5, 368	37, 353
27, 446	19, 400
5, 369	14, 333
